Name,RA,Dec,Const,Type,DimMax,DimMin,Vis,Brightness,Color,Shape,Structure,HD,*Mag,*Spec,Notes
NGC 7822,0 03.6,+68 37,Cep,E,60,30,eeF,3,R, , , , , ,Arc of nebulosity n of Ced 214
Ced 214,0 04.7,+67 10,Cep,E+R,50,40, ,2,R,Ir,AF,225216?,5.67,gK1,"Surrounded by faint nebulousarcs; this is often confused with NGC 7822"
vdB 1,0 11.0,+58 46,Cas,R,9, , ,2,VB, , ,627,8.6,A, ,
NGC 281,0 52.8,+56 36,Cas,E,35,30,F,1,R,Ir,AF,5005,7.76,06, ,
Ic 59,0 56.7,+61 04,Cas,E+R,10,5,pF,2,B, , ,5394,2.47v,BOIVe,"[y Cas]"
NGC 346,0 59.1,-72 11,Tuc,E,14,11,B, , ,Ir,AF, , , ,"Largest diffuse nebula in SMC"
IC 63,0 59.5,+60 49,Cas,E+R,10,3,pF,1,I, , ,5394,2.47v,BOIVe,"[y Cas]"
NGC 456,1 14.4,-73 17,Tuc,E,15,15,pF, , ,Ir,  , , , ,"Several bright knots in SMC"
Sh2-188,1 30.6,+58 22,Cas,E,10,3, ,1,R, , , , , ,"Crescent-shaped"
NGC 896,2 24.8,+61 54,Cas,E,27,13,eF,1,R, , , ,10.5, ,"Nebulous complex, IC 1795 12' nf"
IC 1805,2 33.4,+61 26,Cas,E,60,60, ,3,R,Ir,F,IC 1805, , , ,
IC 1848,2 51.3,+60 25,Cas,E,60,30,F,2,R,Ir,AF,IC 1848, , , ,
vdB 8,2 51.6,+67 52,Cas,R,6, , ,1,B, , ,17443,8.5,AO, ,
IC 1871,3 03.2,+60 29,Cas,E,4,4, ,4,R,Ir,AF, ,10,K3, ,
vdB 16,3 28.3,+29 43,Ari,R,11,5, ,3,MB, , , ,9.1,A5, ,
vdB 14,3 29.2,+59 57,Cam,R,46, , ,4,B, , ,21291,4.23,B9Ia, ,
NGC 1333,3 29.3,+31 25,Per,R,9,7,F,3,B, , , ,9.5,B8p,"Near dark nebula B205"
vdB 15,3 30.1,+58 54,Cam,R,54, , ,3,B, , ,21389,4.58,AOIa, ,
IC 348,3 44.6,+32 09,Per,R,10,10,pB,2,B, , ,281159,8.53,B5V,"Near dark nebula B4"
Ced 19c,3 44.8,+24 17,Tau,R,16,16, ,3,VB, , ,23288,5.46,B7IV,"[Celaeno]"
vdB 20,3 44.9,+24 07,Tau,R,20,16, ,3,VB, , ,23302,3.70,B6III,"[Electra]"
Ced 19e,3 45.2,+24 28,Tau,R,21,21, ,3,VB, , ,23338,4.30,B6IV,"[Taygeta]"
NGC 1432,3 45.8,+24 22,Tau,R,30,30,eF,2,VB, , ,23408,3.88,B7III,"[Maia]"
Ced 19h,3 45.9,+24 33,Tau,R,15,15, ,3,VB, , ,23432,5.76,B8V,"[Sterope]"
NGC 1435,3 46.1,+23 47,Tau,R,30,30,vF,2,VB, , ,23480,4.18,B6IVnn,"[Merope] Tempel's nebula"
Ic 349,3 46.3,+23 56,Tau, , , ,eF, , , , , , , ,"Very small, 36” sf Merope"
vdB 23,3 47.5,+24 06,Tau,R,27,27, ,3,VB, , ,23630,2.87,B7III,"[Alcyone]"
Ced 19o,3 49.2,+24 03,Tau,R,11,11, ,3,VB, , ,23850,3.63,B8III,"[Atlas]"
Ced 19p,3 49.2,+24 08,Tau,R,10,10, ,3,VB, , ,23862,5.09,B8Vpe,"[Pleione]"
vdB 24,3 49.6,+38 59,Per,RB,9, , ,3,MB, , ,275877,8.8 v,A2II+B6,"[XY Per]"
IC 353,3 55.0:,+25 29:,Tau,R?,180,30,vF,3,B, , ,24368,6.36,AO, ,
Sh2-205,3 56.1,+53 12,Cam,E,100,80, ,5,R,Ir,AF,24431,6.73,O9IV-V,"Cam OB1"
NGC 1499,4 00.7:,+36 37:,Per,E,145,40,vF,1,R,Ir,AF,24912,4.04,O7e,"California nebula. [Per, Per OB2]"
NGC 1491,4 13.0,+51 19,Per,E,3,3,vB,1,R,Ir,AF, ,11,BO,"Has a fainter extended envelope"
IC 360,4 13.0:,+25 38:,Tau,E,180,100,vF,4,R, , , , , , ,
vdB 26,4 13.6,+10 13,Tau,R,11, , ,3,VB, , ,26676,7.2,B8, ,
IC 359,4 19.0,+28 12,Tau,R,15,10,eeF,5,I, , , ,12,K8, ,
NGC 1554-5,4 21.8,+19 32,Tau,R,Var, ,vF,3,R,Ir,AF,284419,9.4 v,dG5e,"Hinds variable nebula. [T Tau]"
Ced 33,4 27.1,+26 06,Tau,R,5,2 ,,4,R, , ,DG Tau,10 v, , ,
Ced 34,4 27.2,+22 57,Tau,R,10,6, ,2,B, , ,28149,5.53, B7V, ,
NGC 1579,4 30.2,+35 16,Per,R,12,8,pB,4,B,Ir,AF, ,12, ,"Dark lanes"
IC 2087,4 40.0,+25 44,Tau,R,4,4,eeF,3,R, , , , , ,"In dark nebula B22"
NGC 1624,4 40.5,+50 27,Per,E,5,5,F,2,R,C,AF,NGC 1624, , , ,
vdB 29,4 48.4,+29 47,Tau,R,14, , ,4,B, , ,30378,6.5,B9, ,
vdB 31,4 55.7,+30 33,Aur,R,9, , ,3,B, , ,31293,6.8 v,AOpe,"[AB Aur]"
NGC 1763,4 56.8,-66 24,Dor,E,25,20,vB, , ,Ir,F, , , ,"Has a bright nucleus. In LMC"
NGC 1788,5 06.9,-3 21,Ori,R,8,5,B,1,VB, , ,293815,10.12,B9V, ,
IC 2118,5 06.9:,-7 13:,Eri,R,180,60,F,3,B, , ,34085,0.12,B8Iae:,"[Rigel]"
IC 405,5 16.2,+34 16,Aur,R,20, , ,2, , , ,34078,5.96v,09.5Ve:,"Reflection part of IC, sf AE Aur"
IC 405,5 16.2,+34 16,Aur,E,30,19,pB,2,R,Ir,AF,34078,5.96v,09.5Ve:,"Flaming Star nebula. [AE,Aur]"
Sh2-223, 5 17.2,+42 12,Aur,E,70,10, ,4,VR,Ir,AF, , , ,"SNR"
vdB 37,5 18.2,+13 24,Ori,R,15, , ,3,VR, , ,34454,8.2,gM5, ,
Sh2-276, 5 20:,-4:,Ori,E,400,40, ,3,R, ,AF, , , ,"Barnards Loop, p part. [Ori?]"
vdB 38,5 21.75,+8 27,Ori,R,39,30, ,3,I, , ,34989,5.77,B1V, ,
"NGC 1929,34-6",5 22.0,-67 58,Dor,E,20,15,pF, , ,Ir,AF, , , ,"OB assoc. + neb. in LMC, with IC 2126-7"
Ic 410,5 22.6,+33 31,Aur,E,40,30, ,2,R,Ir,AF,NGC 1893, , , ,
 ,5 26.8,-67 30,Dor,E,20,20, , , ,Ir,AF, , , ,"Several knots and cl. NGC 1955 in LMC"
NGC 1966,5 26.8,-68 49,Dor,E,13,12,pB, , ,Ir,AF, , , ,"In LMC"
Sh2-224, 5 27.3,+42 59,Aur,E,20,3, ,5,VR,Ir,F, , , ,"SNR"
IC 417,5 28.1,+34 26,Aur,E,13,10, ,2,R,Ir,AF,St 8, , , ,
NGC 2018,5,30.6,-71,04,Men,E,25,18,pB,IrF,Contains,"SNR,",in,LMC
NGC 1931,5,31.4,+3415,Aur,EHR,3,3,vB1R,IrAF,NGC,1931,,
IC 423,ERIE,eh),Ori,R,Om,4,vF,2,B,Annular.,A,planetary?,
5 33.4,-67,38,Dor,E,30,20,IrAF,"Knots,","filaments,",cl.,NGC,2014,in,LMC
NGC 1952,5,34.5,+22,01,Tau,E,6,4,vB,1,EF,16,v,Crab,nebula,"M1,",SNR.,[PSR,0531+21]
NGC 1973,5 35.1,—4 44 ,0ri,E+R,5,5, ,1,B, , ,36958,7.36,B3V, ,
NGC 2048,5 35.2,-69 46,Dor,E,18,12,vF, , ,Ir,AF, , , ,"Lies sp 30 Dor, in LMC"
NGC 1975,5 35.4,-4 41,Ori,E+R,10,5,B?,1,B, , , ,10.9, , ,
NGC 1976,5 35.4,-5 27,Ori,E+R,66,60,eB,1,R,Ir,AF,37020-3,2.9,OB,"Orion nebula M42. [Ori]"
NGC 1980,5 35.4,-5 54,Ori,E,14,14,vF,3, , , ,37043,2.77,O9III,"[z,Ori]"
NGC 1977,5 35.5,-4 52,Ori,E+R,20,10, ,1,B, , ,37018,4.59,B1V,"[42 Ori]"
NGC 1982,5 35.6,-5 16,Ori,E+R,20,15,vB,1,R, , ,37061,6.85,B1V,"M43"
Sh2-264,5 35:,+10:,Ori,E,270,240, ,4,R,C,A,36861-2,3.39,O8e+BO.5V,"[Ori]"
NGC 1990,5 36.2,-1 12,Ori,E+R,50,50, ,3,B, , ,37128,1.70,BOIae,"[Ori]"
NGC 1999,5 36.5,-6 42,Ori,E+R,16,12, ,1,I?, , , ,9.3,B8,"With IC 427-8 nf. [V380 Ori]"
IC 426,5 36.8,-0 15,Ori,R,5,5,vF,2,B, , ,37140,8.54,B9,"Fan-shaped"
IC 430,5 38.5,-7 05,Ori,R,11,11, ,2, , , ,37507,4.80,A4V,"Fan-shaped. [49 Ori]"
NGC 2070,5 38.7,-69 06,Dor,E,40,25,vB,1,VR,Ir,AF, , , ,"30Dor nebula (Tarantula) in LMC"
Sh2-240, 5 39.1:,+28 00:,Tau,E,200,180, ,4, ,E,F, , , ,"SNR Simeis 147. Position of the center is given"
vdB 49,5 39.2,+4 10,Ori,R,6, , ,2,VB, , ,37490,4.50,B3IIIe,"[Ori]"
Sh2-231,5 39.4,+35 56,Aur,E,1O,5, ,4,R,Ir,A, , , , ,
"NGC 2074,81",5 39.6,-69 27,Dor,E,16,10,pB, , ,Ir,AF, , , ,"Part of 30 Dor nebula in LMC"
IC 431,5 40.3,-1 27,Ori,R,5,3, ,2,VB, , ,37674,7.67,B5n, ,
NGC 2077-80,5 40.4,-69 38,Dor,E,15,11,B, , ,Ir,AF, , , ,"In LMC, sf 30 Dor. NGC 2083-4 near"
NGC 2024,5 40.7,-2 27,Ori,E,30,30,B,2,R,Ir,AF,37742,2.05,09.5Ibe,"[Ori]"
IC 432,5 40.9,-1 29,Ori,R,8,4, ,1,B, , ,37776,6.98,B2v, ,
IC 434,5 41.0,-2 24,Ori,E,60,10, ,1,R, , ,37742,2.05,09.5Ibe,"Behind the Horsehead neb. [Ori]"
Sh2-235,5 41.1,+35 52,Aur,E,10, , ,2, ,Ir,AF, , , , ,
 ,5 41.5,-3 09,Ori,E,50,6, ,2,VR, , , , , ,"An extension of IC 434 southward"
NGC 2023,5 41.6,-2 14,Ori,E+R,10,10, ,1,B, , ,37903,7.82,B1.5V, ,
Ic 435,5 43.0,-2 19,Ori,R,5,3, ,1,VB, , ,38087,8.30,B3n, ,
 ,5 43.2,-67 54,Dor,E,7, , , , ,C,F, , , ,"Faint ring in LMC"
Ced 59,5 45.3,+9 04,Ori,E+R,3,2, ,2,R, , ,FU Ori,12 v,F2p,"Size varies In dark nebula B35"
NGC 2064,5 46.3,0 00,Ori,R,12,2,eF,2,I, , , , , , ,
NGC 2067,5 46.5,+0 06,Ori,R,8,3,F,2,I, , ,38563,10.49,B5, ,
NGC 2068,5 46.7,+0 03,Ori,R,8,6,B,1,I, , ,38563,10.49,B5,"M78"
NGC 2071,5 47.2,+0 18,Ori,R,4,3,vF,2,I, , ,290861,9.5,F8, ,
Sh2-276,5 48:,+1: ,Ori,E,600,30, ,3,R, , ,37742,2.05,09.5Ibe,"Barnards Loop, f part. [Ori?]"
 ,5 56:,-6: ,Ori,E,600,20, ,3,VR, , , , , ,"Southern extension of Barnards ,Loop"
NGC 2149,6 03.5,-9 44,Mon,R,3,2,F,2,B, , , ,9.3, , ,
Sh2-241,6 04.1,+30 15,Aur,E+R,10, , ,2, ,Ir,AF, , , , ,
